idx,gt
0.0407785987787943060.77101671752151930.006602457184009314_6_5_5_5_1927_703,5
0.0410243048053690050.91088149257671450.5326420537074289_0_0_0_5_1081_551,7
0.041244062100776690.89059594232288240.8791193298238565_0_0_0_0_1137_583,0
0.043000543892711460.345573863626243540.5080030190461047_2_2_2_2_9_688,2
0.043088421917129580.26545563415895370.4068943422470388_1_8_1_1_1892_893,1
0.0440908749282380440.87287591399328720.14187855401690674_0_0_0_0_1587_828,0
0.0473180653608346050.1379366649165520.07438735038078492_5_5_5_5_1453_920,5
0.0491068061936317250.82270083477215270.2737331849717115_4_4_4_4_976_331,4
0.04999099283833630.380139285865402130.39870000605971345_0_0_0_0_1187_543,3
0.0504799750917384050.104964826011282990.6712877073039143_5_5_5_5_912_423,5
0.050696683678851830.80474617760631250.6320863097456004_0_0_0_0_108_592,0
0.050696683678851830.80474617760631250.6320863097456004_0_0_0_0_1220_188,0
0.050696683678851830.80474617760631250.6320863097456004_0_0_0_0_2320_203,0
0.0509706931423382640.87169212945398710.29113188913304544_0_0_0_0_1061_422,0
0.0536465644721305650.426447806930844830.2722064582014315_6_6_6_6_1009_1364,6
0.0540701950064916840.425545783742630860.7416974279192565_2_2_2_2_1538_759,2
0.055741614120912610.75633147520891810.2554148860362012_4_4_4_4_1527_868,4
0.0560273218422278060.58131969432525170.6705762297632933_1_1_1_1_682_528,1
0.0560273218422278060.58131969432525170.6705762297632933_3_3_3_3_727_1068,3
0.056382067330470350.7209008548931250.38006679799924936_0_0_0_0_1312_743,0
0.056382067330470350.7209008548931250.38006679799924936_0_0_0_0_991_663,0
0.056432066688474670.069307589861017930.4032727568668456_3_3_3_3_2097_8,3
0.0577500065339129340.52497339482277390.20211919665422073_5_5_5_5_222_238,5
0.05842242911913520.049833654958282960.6531662680218727_0_0_0_0_1617_908,0
0.0586241008954815350.87483992231137670.6396638464879871_5_5_5_5_1482_1288,5
0.0586241008954815350.87483992231137670.6396638464879871_5_5_5_5_422_798,5
0.059167928280434270.205613071702015260.8570132472776029_0_0_0_0_955_40,0
0.060359461228241540.167568352512987070.07312924540697174_0_0_0_0_1002_1013,0
0.0608059583221053360.08169074826304890.161327279807717_0_0_0_0_1052_723,4
0.061880740632788920.60582433761821460.3079782277151337_5_5_5_5_592_842,5
0.062477266628314210.94414053184761940.5472542039798244_2_2_2_2_1937_178,2
0.065014154936601560.03640013470783410.4373850355303214_0_0_0_0_1367_163,0
0.065014154936601560.03640013470783410.4373850355303214_2_0_0_0_1842_58,0
0.06701218936152920.165830157510177930.98400624855903_1_1_1_1_736_342,1
0.071332670657448970.280200843338187840.7856950505767394_7_7_7_7_1322_398,7
0.072047309108368760.86961163632821870.9401185473697007_0_0_0_0_1017_748,1
0.072624856471339760.45235693109567110.1552466259836196_2_2_2_2_1012_348,2
0.072707716758220740.286289848056671240.8788202200466709_5_5_5_5_1377_538,5
0.074820962275196190.39263601891728860.9983186445400033_2_0_2_6_903_522,6
0.074820962275196190.39263601891728860.9983186445400033_6_6_6_6_314_931,6
0.074820962275196190.39263601891728860.9983186445400033_6_6_6_6_66_740,6
0.076576547574013890.31162399300667110.7646493461675615_1_1_1_1_1622_1123,1
0.076612409690861360.63137995706659030.7153605003313691_7_7_7_7_332_540,7
0.076677555879120840.34846324090618850.669098802599931_1_1_1_1_892_757,1
0.079700092173120130.94569626776344580.4235724875023972_5_5_5_1_2152_203,1
0.080926972918332620.31131394324890060.3759346011893129_0_2_0_2_838_923,0
0.081600352233045180.97704819449781210.48994578402170597_0_0_0_0_627_388,0
0.083551434575490190.90940354037160740.6335070832561533_1_1_1_1_1420_38,1
0.083551434575490190.90940354037160740.6335070832561533_3_3_3_3_457_373,3
0.083551434575490190.90940354037160740.6335070832561533_6_6_3_0_277_1383,3
0.083584654526787320.69600468892687950.5498182843797995_0_0_0_0_116_28,5
0.083667139991684180.9584802822351550.2909710764151777_5_5_5_5_1327_433,5
0.083902990001051280.58066498495728440.31878375688804717_0_0_0_0_777_1428,0
0.083967195119938890.55220080666312730.12369302123848402_0_0_0_0_817_263,0
0.084194023952117610.88148493122392750.7496937437386898_0_0_0_0_1472_83,7
0.084194023952117610.88148493122392750.7496937437386898_0_0_0_0_1707_1063,0
0.084194023952117610.88148493122392750.7496937437386898_0_0_0_0_917_853,0
0.084933610415322990.63971158215688210.9933575713609806_3_3_3_3_452_1008,3
0.085398885509875950.199582938387015130.9055079135966687_7_7_7_7_1839_1009,7
0.087056561520403860.5936333004624440.056543948036942515_0_0_0_0_1452_463,0
0.087601306448350740.160129879976934730.9685882660543307_0_0_0_0_657_366,0
0.087601306448350740.160129879976934730.9685882660543307_0_0_0_0_657_5,0
0.087601306448350740.160129879976934730.9685882660543307_0_0_0_0_8_1083,5
0.087601306448350740.160129879976934730.9685882660543307_4_4_6_4_2520_429,4
0.088475018755228120.66938887263292270.004506662765696223_8_8_0_0_1090_692,7
0.089981968747109840.508879517764620.7223178763699357_0_0_0_0_1567_1068,6
0.0902343813646650.60220276880060280.6575036779399647_0_0_0_0_922_293,0
0.090460823978230080.343989816054560.5643810652190078_6_6_6_6_37_478,6
0.091820400134860810.87329732335365860.05167241091737229_0_0_0_0_1222_328,0
0.092349749834078290.320773910374742230.4174895022870607_2_2_2_2_1482_338,2
0.092587477700715850.0155853540138547460.6570717258976299_0_0_0_0_1767_358,2
0.096079154302288640.57974076285894930.7453487224271822_4_4_4_4_1397_918,4
0.096559975619416650.21336288545942560.1433675458770466_6_7_5_7_79_583,6
0.09873634821150290.70798121865751380.7884886691726886_2_2_2_2_1202_663,2
0.098975330761439940.66250103279681940.9208689046858625_0_0_0_0_574_1,0
0.099091933214321410.6859646550717770.6246484636031882_1_1_1_1_2447_508,1
0.100323878919017060.0395924570177703660.14561914742782844_2_2_2_2_1447_763,2
0.100640996552380240.92935777640698480.47870696527366574_0_0_0_0_761_588,0
0.10138492297135060.20543924851531560.5151573031282325_0_0_0_0_751_864,7
0.101879714163278460.052416208709034850.9789524936329282_0_0_0_0_1797_73,5
0.101879714163278460.052416208709034850.9789524936329282_5_5_5_5_2002_33,5
0.102726765324863020.89947269428383840.10234117109607621_0_0_0_0_2187_5,0
0.104260623580071270.73990689044673070.3981096635026199_0_0_0_0_1524_962,2
0.104260623580071270.73990689044673070.3981096635026199_1_1_1_1_1179_109,1
0.104260623580071270.73990689044673070.3981096635026199_7_7_7_7_231_103,7
0.10557025287916710.46432487368539310.4823918296778429_0_3_3_3_847_673,0
0.108382307828974960.32045782432222860.8151670317770974_0_0_0_0_691_88,0
0.109450823306224240.63949751390387380.9957909829253199_6_6_4_4_1572_268,6
0.109720879998591370.073005783703553480.29553385921001796_0_0_0_0_1452_333,0
0.109849818649418560.70294939092146770.697386267278753_1_1_1_1_1292_498,1
0.110312073253024060.7167603659342410.7079953562186243_1_1_1_1_426_48,1
0.110584430522333350.83821462714622230.28550528236751704_2_2_2_2_602_528,2
0.111113429435577780.120641417391813330.18407813602982082_3_3_3_3_612_163,3
0.111129592923665640.9954663027341180.8978283378479045_3_3_3_3_2207_453,3
0.112572227739773380.74194201018414960.342109895838669_2_2_2_1_1240_535,1
0.112733074926552710.324440042262686750.13594548814189666_3_3_3_3_1277_1103,3
0.116286767928030610.58515916404087230.4439159742434198_5_3_2_1_1182_468,0
0.117403109572255640.94755795677482590.4928209388661994_0_0_0_0_1102_768,2
0.121445663609373810.66180278441959250.7489260293737677_4_4_4_4_579_470,4
0.12234735335957480.88889434435939270.42014348825483827_3_3_0_3_1196_509,4
0.122673733678965950.25806251871014640.26686182343937104_2_2_2_2_76_523,2
0.123696834200993640.75082311262096020.7495485716292503_0_0_0_0_1391_11,0
0.124171147176530330.106093342088038890.04910037439359349_2_2_2_2_775_353,2
0.126094665301954460.0215641234715079340.6208143299811428_2_2_2_2_687_708,2
0.127542452428821120.77118672256177810.34094960778042216_6_6_6_6_1497_368,6
0.127542452428821120.77118672256177810.34094960778042216_6_6_6_6_332_278,6
0.127542452428821120.77118672256177810.34094960778042216_6_6_6_6_637_388,6
0.12785337607782510.99963694361581460.22465072353254367_2_2_2_2_927_972,2
0.128324206751478150.98194248631476440.9946990408912937_4_4_6_4_1634_401,4
0.129045035116097550.164450649704141250.5411859604290252_1_1_1_1_1477_323,1
0.129153960168337470.6683651407227280.5313344183343949_0_0_0_0_608_17,0
0.13060087621069560.362809046813622250.004301667995825098_7_7_7_7_1492_208,7
0.130990470638820630.76122712211066470.5677009000502315_1_1_1_1_259_690,6
0.132694327538009030.93419951917788660.9641243941014465_5_5_5_5_471_572,5
0.13286618827147690.55488782931810740.8793911364853281_0_0_0_0_852_273,0
0.13452663751511750.46890909906241450.02788170551465563_5_5_5_5_797_108,5
0.135045795122276660.51479037140986450.7317159282515653_0_0_0_0_1142_288,2
0.135111386750685460.57206416328635530.14892354778004124_0_0_3_0_721_868,0
0.13549901185848390.119747066899089760.17470375470018962_3_3_3_3_717_1028,3
0.137856424086906350.77156090830578530.046632325021449095_2_2_2_1_317_573,1
0.138616966928873820.99928504837811540.7378097995554616_0_0_0_0_1637_453,7
0.138653454193326640.035998329351730420.9684943655015197_3_3_3_3_1062_823,3
0.139181399261443680.25754978982243140.1823073946089121_0_0_0_0_692_273,0
0.139256596259626280.217476729416690380.14125254551890332_5_5_5_5_709_601,5
0.140073388723495950.80934734147943790.7296623049176771_2_2_2_2_1242_473,2
0.141337738992332040.099403923417354710.1391254591200648_1_1_1_1_2079_240,1
0.141337738992332040.099403923417354710.1391254591200648_1_1_7_1_390_764,1
0.144146062750588170.51134842338341320.1502464123419649_1_1_1_1_922_1033,1
0.14503333691297760.61210092399834480.04741915838645272_3_3_3_3_742_493,3
0.145704372530552460.477843543814151950.07061960832892811_1_1_1_1_802_453,1
0.146123937883317230.456862434916520230.6494481644311175_2_2_2_2_1117_758,2
0.146710520754887770.061680727098463730.29793019926054054_7_7_7_7_1355_746,7
0.15063240212849870.297687202066893140.6281879107208141_3_8_3_3_1376_418,3
0.151744948669888080.54940633536146550.5768529530401669_0_0_0_0_1067_563,0
0.151744948669888080.54940633536146550.5768529530401669_0_0_0_0_1812_298,2
0.151744948669888080.54940633536146550.5768529530401669_5_5_5_5_3_670,5
0.156279366633107490.79276648033529370.1482600292592433_5_5_5_5_446_513,5
0.159603930631144860.42434145755752630.21438323764076705_0_0_0_0_371_538,0
0.15999773014247210.92010773096285060.2125319191139322_1_1_1_1_1752_1043,1
0.15999773014247210.92010773096285060.2125319191139322_3_3_3_3_362_13,3
0.160715081560243830.96704066288567150.47883357301963614_6_6_6_6_310_886,6
0.16100137758107780.353643293764165150.040516799550191496_1_1_1_1_1433_996,1
0.162411114404489740.6071236944456450.1656815453364172_3_3_3_3_142_368,3
0.163852271287360240.13216519195514810.047854536239713696_1_1_1_1_987_343,1
0.164670773347179170.273775203053269630.36139215504146727_1_1_1_1_1367_568,1
0.16498487531880980.98624708453784140.8081154843207504_0_0_0_0_747_203,0
0.16679898148291550.77385590141272790.24784423119661836_5_5_5_5_476_1013,5
0.16698587603951710.290980784493001130.14960266778371123_3_3_3_3_292_803,3
0.168679882024861730.8783976500856330.9009343950727626_0_0_0_0_1348_912,6
0.168679882024861730.8783976500856330.9009343950727626_0_0_0_0_3_1218,0
0.168794122971429930.119869614290744390.004886162819137452_4_4_4_4_1585_820,4
0.170938165082855860.54281604980547620.9406731876774632_7_7_7_7_1392_923,7
0.175193405506910650.69059762830324590.3535170597316414_0_0_0_0_1117_843,0
0.176509929133929160.77409915133836160.6952641783709764_5_5_5_5_547_298,5
0.177126424245509730.206436792306139760.13038284553603885_0_0_0_0_1891_211,0
0.1772419005919470.162300735949037270.38202919214346365_7_7_7_7_2082_1088,7
0.17777238559871810.61871731054369180.9420356434640329_4_4_4_4_767_378,4
0.178287055613289060.97569567784275650.030113793072557238_5_5_5_3_1147_358,4
0.178474825754773250.92865285589719930.2800839351639862_0_0_0_0_54_1146,0
0.178936515300967660.73065159772355370.7339279283183602_7_7_7_7_1267_393,7
0.178936515300967660.73065159772355370.7339279283183602_7_7_7_7_917_188,1
0.179025789437739060.57944704364445790.4156377929948849_6_6_6_6_367_928,6
0.179759581675281050.10269998768085620.8255960175382555_1_1_1_1_1177_403,1
0.179866768627472970.54608708995521440.6463717448068658_7_7_7_7_1802_523,7
0.180247898374049750.74690177431096730.8095074777376526_1_1_1_1_2348_440,1
0.180247898374049750.74690177431096730.8095074777376526_1_1_1_1_261_975,1
0.180247898374049750.74690177431096730.8095074777376526_1_1_1_1_559_225,1
0.181155013758325320.89445021435884250.24624906050609385_4_4_4_4_177_98,4
0.181155013758325320.89445021435884250.24624906050609385_4_8_8_4_1122_668,4
0.181155013758325320.89445021435884250.24624906050609385_7_7_7_7_2187_918,7
0.181354331606661030.150895436778867740.4576716151265251_1_0_0_8_1012_533,1
0.181764084499792640.0409910660498512550.696361086684415_0_0_0_0_27_1008,0
0.181764084499792640.0409910660498512550.696361086684415_0_0_0_0_362_1093,0
0.181764084499792640.0409910660498512550.696361086684415_0_0_0_0_727_23,0
0.182784597090399070.64043475646626170.6408926856462775_3_3_3_3_502_223,3
0.183032703300665570.43877090279637710.5847835477687149_7_7_7_7_1407_633,7
0.184264690897650850.88805698794114130.8445838145985554_4_4_4_4_232_358,4
0.185942305937356170.37659853473916550.6502815327053207_4_5_0_4_2192_503,6
0.186151260014867040.63576454629340930.8385297975133136_1_1_1_1_2295_664,1
0.187045496459968260.61320270948266230.1804131599125206_1_1_1_1_2694_14,1
0.187163313722814030.2381453597979990.748785109927271_0_0_0_0_1272_1043,0
0.187163313722814030.2381453597979990.748785109927271_0_0_0_0_1312_1483,0
0.187163313722814030.2381453597979990.748785109927271_0_0_0_0_431_23,4
0.187163313722814030.2381453597979990.748785109927271_3_0_0_8_732_358,0
0.187666807836788130.78481436760524790.1981188579491292_7_7_7_7_1617_713,7
0.187814991939932120.22601536907577790.2415074457933737_4_5_2_5_537_368,4
0.18813651474055460.27700463031707610.21135919613905962_3_3_3_3_1747_683,3
0.188231749520184840.234641561672974450.5029124181298096_1_1_1_1_607_1205,1
0.188305840145231660.499291343459178250.0035376564864501026_4_4_4_4_707_808,4
0.188842317032589250.95929385014730210.5203239992424741_3_3_3_3_477_333,3
0.189333522282393750.342064820173657250.582110779576833_0_0_0_0_747_713,0
0.189747608414982730.090282004963087580.7983024522454071_2_2_2_2_1147_528,2
0.190189972646006340.99028018988929090.33298321437122513_1_1_1_1_927_743,1
0.196115358224467460.5817276244143040.558327757435958_1_1_1_1_2144_970,1
0.197315516346716620.416727391431006460.8533090682896374_0_8_0_8_1098_418,4
0.197833868763623630.83938353360436250.6637535685468169_3_3_3_3_74_409,3
0.202554693744240840.082610335829833240.808817634433695_1_1_1_1_1496_943,1
0.202578215199724520.58933069277107410.8423868326549522_0_0_0_0_1187_853,0
0.203938667180575070.043491245624635580.9188190231091479_5_5_5_5_1627_393,5
0.204398379845756260.65963482538166420.5072718568375753_7_7_7_7_1602_570,7
0.20513513410704320.253325163491063150.08254478324143355_3_3_3_3_1172_298,3
0.205262700791868040.86053531361306420.5539392702464867_7_7_7_7_2662_1428,7
0.205453914050544580.41743077506851920.8307520520613263_5_5_5_5_767_123,5
0.206221696254532680.67691539279911110.8904348241186787_4_4_4_4_1122_438,4
0.206519752915851670.5681963101374770.2052880484919345_0_0_0_0_1805_799,0
0.20652796694302410.30941274352749870.9312909129375213_0_0_0_0_482_583,0
0.20652796694302410.30941274352749870.9312909129375213_7_7_7_7_1412_153,7
0.206960233013621870.8684755460771530.6660986700492693_2_2_2_2_1429_738,2
0.207453003448606180.14534329096462540.3554031021327062_1_1_1_1_1089_827,1
0.207453003448606180.14534329096462540.3554031021327062_1_1_1_1_183_129,1
0.208028352656871250.89811188908855720.01829217979886677_0_0_0_0_2568_442,0
0.208028352656871250.89811188908855720.01829217979886677_0_0_0_0_690_790,1
0.208028352656871250.89811188908855720.01829217979886677_1_1_1_1_2133_1368,1
0.208028352656871250.89811188908855720.01829217979886677_1_1_1_1_2222_420,1
0.208028352656871250.89811188908855720.01829217979886677_1_1_1_1_294_459,1
0.209327058737328930.194860986359820850.00602559660075519_6_6_6_6_962_363,6
0.21025248805112450.390746945197105950.5385310429082668_2_2_2_2_2192_193,2
0.2105290542718230.74439059117659820.42327251598455995_0_0_0_0_1677_493,0
0.210821372159124330.4762091687910820.4489144122430705_1_1_1_1_3_1220,1
0.210821372159124330.4762091687910820.4489144122430705_1_1_3_3_735_718,1
0.211203439831960330.8026051989481170.6990905882265014_0_0_0_0_667_453,0
0.212080615216447050.26599396168507450.12964224913517197_0_0_0_0_1147_303,0
0.213104935413739320.37249550639392980.6629745421388263_5_5_5_4_1372_283,6
0.213992219057315030.72667365571915090.3204587277576746_0_0_0_0_1952_198,0
0.213992219057315030.72667365571915090.3204587277576746_0_0_0_0_632_518,0
0.215367566936943920.80758017617730880.6702343087777679_1_1_1_1_2042_1183,1
0.217352307702884050.6782060003983370.6706981407349023_5_5_5_5_704_40,5
0.21800819601524280.098647459988701280.36049796492949315_1_1_1_1_1772_428,1
0.219642610094526680.246903431446661940.3967840284951707_3_3_0_3_1117_773,1
0.21995569581364150.434821840486100840.970517224729226_3_3_3_3_1132_1198,3
0.221066600649218240.98588868631582330.7887187754265544_6_6_6_6_957_683,6
0.221171966347297630.045857791965527420.5432899751276808_5_5_5_5_2357_1133,5
0.224232714250092170.60478860639823650.936512043790973_5_5_5_5_21_388,5
0.22619347998816840.443457673759722560.8054793093520862_1_1_1_1_1152_978,1
0.22675091008437530.125149240763285370.2143892124546397_5_5_5_5_547_128,5
0.22678435809782660.66440501855321050.3877998019497382_5_5_5_5_1377_143,5
0.22707203065615710.173313940865999270.2703052219416524_0_8_8_0_297_353,2
0.227249003819710140.78286216702899760.31751011275245566_0_0_0_0_2050_358,4
0.227249003819710140.78286216702899760.31751011275245566_0_2_0_4_196_788,0
0.227261883482507860.61643441623712890.9267451850492311_2_3_3_2_1122_1103,3
0.22810034875336050.53191795369614130.5581121827430348_5_5_5_5_640_9,5
0.228995786526475450.407303485799281330.0636771895232473_7_7_7_7_912_756,7
0.23060154742752780.84331931868733630.8987780416803989_0_0_0_0_607_728,5
0.231277950315193270.24240711683269490.3869682759992924_0_0_0_0_1367_1218,0
0.231277950315193270.24240711683269490.3869682759992924_0_0_0_0_442_113,0
0.235785971192223330.60022094216945330.8471821021498261_0_2_0_0_707_753,3
0.235906095176555250.291700563125261270.03559120828943152_6_3_0_3_1737_1348,3
0.23597320709789960.94662244995952880.29171032278051656_1_1_1_1_1322_663,1
0.236157153696983650.34584007530791140.9959791443010685_6_6_6_6_1704_35,6
0.236199495164820530.140814284046190340.12423309650795922_5_5_5_5_2112_1348,5
0.237572163378743650.134242433300847620.03347641814794278_0_0_0_0_652_813,0
0.238215575046923260.0246072574467384180.12946975268972094_1_1_1_1_1773_382,1
0.23903016659126430.238570616345471940.2539119680373576_6_6_6_6_590_507,6
0.239691906166533460.60161065664803560.8286275162808597_1_1_1_1_1255_3,1
0.239825760097330480.314853615489572250.14097978646074394_2_2_2_2_429_692,2
0.242809489919552760.64865515391072310.2535565613309978_0_0_0_0_877_253,1
0.242809489919552760.64865515391072310.2535565613309978_6_6_6_3_1341_1018,3
0.24365567572985270.63324773948958470.1490395842772363_1_1_1_1_352_123,1
0.244194004345536620.0043875311985149820.2153270371958932_0_0_0_0_1247_1413,0
0.244194004345536620.0043875311985149820.2153270371958932_1_1_1_1_1614_22,1
0.244194004345536620.0043875311985149820.2153270371958932_5_5_5_5_31_1208,5
0.244394923067313920.118282044129557670.8728915276478445_7_7_7_7_867_353,7
0.244460168534433420.055676618658671350.3872846040973652_0_0_0_0_1017_273,0
0.24464457081350.88336921705746710.18602568807154019_3_3_3_3_527_1153,3
0.244675959941802130.41244204024045960.16266518953990783_3_3_3_3_1957_728,3
0.244675959941802130.41244204024045960.16266518953990783_3_3_3_3_872_313,3
0.247129039302996570.69843612309794030.25382807696592846_3_3_3_3_1682_818,3
0.247129039302996570.69843612309794030.25382807696592846_3_3_3_3_337_313,3
0.24719573831410580.0025706939115183180.3672574145208328_7_7_7_7_942_870,7
0.247360712178917420.70939570002714850.01259605421907195_4_4_4_4_1182_168,4
0.24781841066721710.69197887630539390.7854733553796187_4_4_4_2_1232_68,0
0.24781841066721710.69197887630539390.7854733553796187_5_5_5_5_1572_783,0
0.24781841066721710.69197887630539390.7854733553796187_7_7_7_7_2472_528,7
0.248187012048607940.59914513235137280.9283388153105294_5_5_5_5_1695_509,5
0.248699801164882770.29170819060520460.09889708693670407_5_5_5_5_1647_1308,5
0.24882802665823790.55528334602209730.3982921944463237_7_5_1_6_501_358,5
0.249645375322735340.95525299935393520.9310696873216466_4_4_4_4_122_1373,4
0.249645375322735340.95525299935393520.9310696873216466_5_5_5_5_107_93,5
0.251342929665159030.48691062384207450.025468481491473294_0_0_0_0_397_713,0
0.2528977698447070.67487032117931440.6149692620513316_6_6_6_6_377_718,6
0.25397809141817940.34529233405366730.791068668506532_2_2_2_2_792_694,2
0.25459322342987980.92813768988340570.6579109702285572_1_1_1_1_557_163,1
0.25562396097533470.97998496056875510.4428861917378426_6_6_6_6_990_75,6
0.25602226213201950.25813473286722790.5613976518703127_5_5_5_5_1064_933,5
0.25602226213201950.25813473286722790.5613976518703127_5_5_5_5_259_14,5
0.256923927548456170.89567433172326730.00482389207543843_8_8_7_3_666_727,3
0.257051395554489860.26613732756124130.6366330635666015_4_4_4_4_552_778,4
0.258495156496035940.72475437968135440.3362216868255855_2_2_2_2_294_585,2
0.26207392842052380.76054215228107310.07557849567175401_5_5_5_5_1353_553,5
0.263591774732785940.241925291219707070.27232683434752836_0_0_0_0_0_1,0
0.263591774732785940.241925291219707070.27232683434752836_0_0_0_0_1385_81,0
0.26402895558768760.96252679730330.4692720889458746_2_0_0_0_807_643,2
0.26831183964708670.30491973551109320.3383919580482111_0_0_0_0_0_40,0
0.268868571736639250.14928845907258380.347197530108311_7_7_7_7_1397_278,7
0.26940519875666480.60606212479556840.7020763010469684_5_7_8_5_647_168,7
0.26940519875666480.60606212479556840.7020763010469684_7_7_7_7_1777_623,7
0.26959881562627820.96572294193139810.2948998302783541_2_2_5_4_1577_1220,2
0.26994622779275810.89983094747782630.32660079216814786_3_3_3_3_1236_353,3
0.26994622779275810.89983094747782630.32660079216814786_3_3_3_3_707_263,3
0.26994622779275810.89983094747782630.32660079216814786_3_3_3_3_737_1378,3
0.27082021930251790.86998355395006520.46877621265956093_0_0_0_0_347_403,0
0.27160080758759710.355209459991084550.9497481896690644_3_3_3_3_742_833,3
0.272278878883096430.308362254636520560.010755749329791842_0_0_0_0_411_462,0
0.272359480934242450.306129382340453950.4652583560353931_2_2_2_2_192_663,2
0.27324629694274860.40285760440103190.22398091828350808_0_3_0_3_471_53,3
0.27324629694274860.40285760440103190.22398091828350808_3_3_3_3_1566_1063,3
0.27324629694274860.40285760440103190.22398091828350808_3_3_3_3_402_53,3
0.27427615793529080.93167812854807040.05354390359644112_0_0_0_0_2062_1393,0
0.27427615793529080.93167812854807040.05354390359644112_1_1_1_1_1912_38,1
